Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
543244,SHINEFASH,Shine Fashions (India) Ltd,Active,MT,5.00,INE0BLY01023,Textiles
540072,SHIVAEXPO,Shiva Granito Export Ltd,Active,M,10.00,INE191V01015,Construction Materials
544165,SHIVAM,Shivam Chemicals Ltd,Active,M,10.00,INE0SGR01013,Fast Moving Consumer Goods
544272,SHIVTEXCHEM,Shiv Texchem Ltd,Active,M,10.00,INE0YRO01015,Chemicals
543970,SHOORA,Shoora Designs Ltd,Active,MT,10.00,INE0OJZ01019,Consumer Durables
544083,SHREE,Shree Marutinandan Tubes Ltd,Active,MT,10.00,INE0QIS01011,Capital Goods
544372,SHREENATH,Shreenath Paper Products Ltd,Active,MT,10.00,INE0RXS01018,Services
541112,SHREESHAY,Shreeshay Engineers Ltd,Active,M,10.00,INE452Z01012,Construction
540736,SIDDH,Siddharth Education Services Ltd,D,M,10.00,INE930X01012,Consumer Services
543536,SILVERPRL,Silver Pearl Hospitality & Luxury Spaces Ltd,Active,M,10.00,INE0KXN01014,Consumer Services
538667,SIROHIA,Sirohia & Sons Ltd,Active,M,10.00,INE785O01019,Services
543598,SISL,Shantidoot Infra Services Ltd,Active,MT,10.00,INE0LU301014,Realty
544047,SIYARAM,Siyaram Recycling Industries Ltd,Active,M,10.00,INE0QSK01017,Capital Goods
542728,SKIEL,SK International Export Ltd,Active,MT,10.00,INE04ST01013,Consumer Durables
542146,SKIFL,Shree Krishna Infrastructure Ltd,Active,MT,10.00,INE951Z01013,Realty
540269,SKL,Super Fine Knitters Ltd,Active,MT,10.00,INE459U01018,Consumer Durables
544056,SMARITIME,Sahara Maritime Ltd,Active,M,10.00,INE0PSJ01011,Services
543065,SMAUTO,SM Auto Stamping Ltd,Active,M,10.00,INE0C4I01011,Capital Goods
541799,SMEL,Sungold Media and Entertainment Ltd,Active,MT,10.00,INE266S01011,"Media, Entertainment & Publication"
544354,SOLARIUM,Solarium Green Energy Ltd,Active,MT,10.00,INE0W0H01017,Construction
543924,SONALIS,Sonalis Consumer Products Ltd,Active,M,10.00,INE0N5O01013,Fast Moving Consumer Goods
540084,SPICY,Spicy Entertainment and Media Ltd,D,MT,10.00,INE592O01019,"Media, Entertainment & Publication"
544392,SPINAROO,Spinaroo Commercial Ltd,Active,M,10.00,INE10XX01012,Forest Materials
543464,SPITZE,Maruti Interior Products Ltd,Active,M,10.00,INE0JSJ01014,Consumer Durables
544035,SPL,Swashthik Plascon Ltd,Active,MT,10.00,INE0RDR01012,Capital Goods
536710,SRGFFL,SRG Fingrow Finance Ltd,Active,M,10.00,INE326P01019,Financial Services
544399,SRIGEE,Srigee Dlm Ltd,Active,MT,10.00,INE0RJ901010,Capital Goods
535466,SRL,Samruddhi Realty Ltd,S,M,10.00,INE621O01016,Realty
543615,SRSOLTD,Silicon Rental Solutions Ltd,Active,M,10.00,INE0MNV01014,Services
544251,SSL,Share Samadhan Ltd,Active,M,10.00,INE0LY301010,Financial Services
539026,SSPNFIN,SSPN Finance Ltd,Active,M,10.00,INE820R01017,Financial Services
543461,SSTL,Safa Systems & Technologies Ltd,Active,MT,10.00,INE0JNA01014,Services
544171,STAL,Storage Technologies and Automation Ltd,Active,M,10.00,INE0RGM01016,Capital Goods
536738,STELLAR,Stellar Capital Services Ltd,Active,M,10.00,INE325P01011,Financial Services
543622,STML,Steelman Telecom Ltd,Active,M,10.00,INE0MSK01016,Telecommunication
544267,SUBAM,Subam Papers Ltd,Active,M,10.00,INE0U6201010,Capital Goods
536671,SUBHTEX,Subh Tex (India) Ltd,D,MT,10.00,INE427O01018,Textiles
543828,SUDARSHAN,Sudarshan Pharma Industries Ltd,Active,MT,1.00,INE00TV01023,Chemicals
542683,SUICH,Suich Industries Ltd,D,MT,10.00,INE00CU01013,Telecommunication
544001,SUNITATOOL,Sunita Tools Ltd,Active,MT,10.00,INE0Q1S01010,Capital Goods
542025,SUNRETAIL,Sun Retail Ltd,Active,M,1.00,INE206Z01020,Services
544381,SUPERIRON,Super Iron Foundry Ltd,Active,MT,10.00,INE16IQ01014,Capital Goods
780008,SUPERNOVA (ITP),Supernova Advertising Ltd (ITP),S,IP,10.00,INE018Q01010,-
541701,SUPERSHAKT,Supershakti Metaliks Ltd,Active,MT,10.00,INE00SY01011,Capital Goods
543274,SUUMAYA,Suumaya Corporation Ltd,Active,MT,10.00,INE0EMB01015,Textiles
543799,SVJ,S. V. J. ENTERPRISES Ltd,Active,MT,10.00,INE0JZS01010,Forest Materials
543373,SVRL,Shri Venkatesh Refineries Ltd,Active,M,10.00,INE0HLJ01013,Fast Moving Consumer Goods
543745,SVS,SVS Ventures Ltd,Active,MT,10.00,INE0MID01012,Realty
544082,SWANAGRO,New Swan Multitech Ltd,Active,M,10.00,INE0GEN01012,Automobile and Auto Components
544368,SWASTH,Swasth Foodtech India Ltd,Active,MT,10.00,INE0TIR01017,Fast Moving Consumer Goods
539842,SYSCO,Sysco Industries Ltd,D,MT,10.00,INE410U01011,Capital Goods
540332,TANVI,Tanvi Foods (India) Ltd,Active,M,10.00,INE978V01015,Fast Moving Consumer Goods
538496,TARINI,Tarini International Ltd,Active,MT,10.00,INE849M01017,Services
543991,TECHKGREEN,Techknowgreen Solutions Ltd,Active,MT,10.00,INE0P4P01011,Services
544327,TECHNICHEM,Technichem Organics Ltd,Active,M,10.00,INE0ZHT01012,Chemicals
543656,TECHNOPACK,Technopack Polymers Ltd,Active,MT,10.00,INE0MXP01015,Consumer Durables
537119,TENTIMETAL,Tentiwala Metal Products Ltd,D,M,10.00,INE486P01011,Metals & Mining
544175,TGIF,TGIF Agribusiness Ltd,Active,M,10.00,INE0SMU01015,Fast Moving Consumer Goods
544214,THREEMPAPE,Three M Paper Boards Ltd,Active,MT,10.00,INE0UK501010,Forest Materials
543310,TIMESGREEN,Times Green Energy (India) Ltd,Active,MT,10.00,INE0B6101012,Fast Moving Consumer Goods
539985,TITAANIUM,Titaanium Ten Enterprise Ltd,Active,MT,10.00,INE120V01014,Textiles
543616,TLL,Trident Lifeline Ltd,Active,M,10.00,INE0MKA01014,Healthcare
543754,TRANSVOY,Transvoy Logistics India Ltd,Active,MT,10.00,INE0MPU01011,Services
544242,TRAVELS,Travels & Rentals Ltd,Active,MT,10.00,INE0SG001011,Consumer Services
544303,TTC,Toss The Coin Ltd,Active,MT,10.00,INE0XAY01012,"Media, Entertainment & Publication"
544406,UNIFIED,Unified Data Tech Solutions Ltd,Active,M,10.00,INE1ABX01018,Information Technology
537582,UNISHIRE,Unishire Urban Infra Ltd,Active,MT,10.00,INE210P01015,Realty
544433,VALINDIA,Valencia India Ltd,Active,M,10.00,INE130701019,Consumer Services
544329,VANDU,Leo Dryfruits & Spices Trading Ltd,Active,MT,10.00,INE0RH001011,Fast Moving Consumer Goods
540729,VANTABIO,Vanta Bioscience Ltd,Active,MT,10.00,INE695X01011,Healthcare
544168,VARYAA,Varyaa Creations Ltd,Active,M,10.00,INE0R6801013,Consumer Durables
543623,VEDANTASSET,Vedant Asset Ltd,Active,MT,10.00,INE0NC801013,Financial Services
543931,VEEFIN,Veefin Solutions Ltd,Active,MT,10.00,INE0Q0M01015,Information Technology
543545,VEERKRUPA,Veerkrupa Jewellers Ltd,Active,M,1.00,INE0ID001024,Consumer Durables
890163,VIDLIPP,Vidli Restaurants Ltd,D,M,10.00,IN9564S01017,-
544002,VIVAA,Vivaa Tradecom Ltd,Active,M,10.00,INE0PA601017,Textiles
543597,VOEPL,Virtuoso Optoelectronics Ltd,Active,M,10.00,INE0I0T01010,Consumer Durables
544011,VPL,Vrundavan Plantation Ltd,Active,M,10.00,INE0Q6901013,Services
544157,VRUDDHI,Vruddhi Engineering Works Ltd,Active,MT,10.00,INE0OMZ01013,Capital Goods
544219,VVIPIL,VVIP Infratech Ltd,Active,MT,10.00,INE0MNP01016,Utilities
541445,WAA,Waa Solar Ltd,Active,M,10.00,INE799N01012,Power
539337,WAAREE,Waaree Technologies Ltd,Active,MT,10.00,INE725P01012,Power
780016,WEBSL (ITP),Web Element Solutions Ltd (ITP),Active,IP,10.00,INE562Q01017,-
538128,WOMENSNEXT,Womens Next Loungeries Ltd,D,MT,10.00,INE174Q01011,Consumer Durables
544310,YASHHV,Yash Highvoltage Ltd,Active,M,5.00,INE00GK01023,Capital Goods
540550,YUG,Yug Decor Ltd,Active,M,10.00,INE796W01019,Chemicals
538579,ZINEMA,Zinema Media And Entertainment Ltd,Active,M,10.00,INE641Q01019,Services
